"filename", "language", "Python", "Markdown", "comment", "blank", "total"
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/README.md", "Markdown", 0, 14, 0, 3, 17
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/log_event.py", "Python", 6, 0, 0, 1, 7
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/main.py", "Python", 113, 0, 7, 16, 136
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/medium.py", "Python", 68, 0, 3, 8, 79
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_2phase_CSMAinit_TDMAop.py", "Python", 144, 0, 9, 14, 167
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_LBS.py", "Python", 189, 0, 7, 21, 217
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_dualLink_classic.py", "Python", 140, 0, 6, 17, 163
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_singleMac_incompleteCHmodel.py", "Python", 103, 0, 8, 13, 124
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/node_tokenPassing,noInit.py", "Python", 52, 0, 3, 9, 64
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/pair.py", "Python", 4, 0, 0, 0, 4
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/sch_task.py", "Python", 35, 0, 2, 4, 41
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/task_master.py", "Python", 79, 0, 2, 8, 89
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/test.py", "Python", 36, 0, 0, 10, 46
"/home/tavakoli/Desktop/codes/Mac-simulator-Py/tracked_message.py", "Python", 13, 0, 0, 1, 14
"Total", "-", 982, 14, 47, 125, 1168
