"filename", "language", "Python", "comment", "blank", "total"
"/home/tavakoli/Desktop/mac layer simulation py/main.py", "Python", 4, 0, -9, -5
"/home/tavakoli/Desktop/mac layer simulation py/node_newMac.py", "Python", 3, 1, -2, 2
"Total", "-", 7, 1, -11, -3
